,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
376,Sosnovo-Ozerskoye,0,RU,1570933829,54,52.53,111.54,25.23,9.58
377,Bara,100,NG,1570933830,87,10.41,10.6,73.47,4.48
378,Dickson,1,US,1570933831,87,36.08,-87.39,48.0,2.99
379,Douglas,90,US,1570933832,81,58.28,-134.39,44.01,6.93
380,Port Macquarie,90,AU,1570933834,51,-31.43,152.91,66.99,12.75
381,Taunggyi,0,MM,1570933835,67,20.78,97.03,78.87,2.35
382,Huron,90,US,1570933836,97,44.36,-98.21,35.6,16.11
383,Rujewa,58,TZ,1570933837,78,-8.7,34.38,64.29,4.38
384,Mahibadhoo,99,MV,1570933839,75,3.78,72.97,80.49,7.0
385,Corning,75,US,1570933840,100,42.14,-77.05,48.99,3.41
386,Portland,90,US,1570933841,93,43.66,-70.25,54.0,11.26
387,Mattawa,90,CA,1570933842,81,46.32,-78.7,45.0,16.11
388,Kaeo,33,NZ,1570933843,71,-35.1,173.78,72.0,10.08
389,Najran,0,SA,1570933845,32,17.54,44.22,66.2,2.97
390,Lagoa,14,PT,1570933846,88,37.14,-8.45,64.99,6.93
391,Nuevo Casas Grandes,0,MX,1570933847,56,30.42,-107.91,62.49,1.52
392,Esperance,75,AU,1570933849,59,-33.86,121.89,62.6,10.29
393,Senno,92,RU,1570933850,86,57.76,27.95,50.61,14.48
394,Pacific Grove,1,US,1570933851,45,36.62,-121.92,68.0,2.74
395,Nome,1,US,1570933853,76,30.04,-94.42,60.8,4.7
396,Coihaique,0,CL,1570933854,52,-45.58,-72.07,41.0,6.93
397,Mangan,0,IN,1570933855,57,27.5,88.54,60.87,4.08
398,Vila do Maio,0,CV,1570933856,83,15.13,-23.22,77.0,4.7
399,Antofagasta,45,CL,1570933857,82,-23.65,-70.4,57.2,2.24
400,Anadyr,100,RU,1570933859,59,64.73,177.51,37.4,11.18
401,Arai,20,JP,1570933860,42,35.71,139.67,88.0,16.11
402,Port-Gentil,100,GA,1570933861,82,-0.72,8.78,79.05,7.14
403,Beringovskiy,100,RU,1570933862,75,63.05,179.32,38.19,15.2
404,Lorengau,100,PG,1570933864,67,-2.02,147.27,84.09,4.53
405,Hualmay,2,PE,1570933865,87,-11.1,-77.61,56.37,2.06
406,Juneau,90,US,1570933866,81,58.3,-134.42,44.01,6.93
407,Churachandpur,8,IN,1570933867,65,24.33,93.67,78.51,1.32
408,Zhaotong,97,CN,1570933869,81,27.34,103.71,51.33,3.69
409,Hohhot,4,CN,1570933870,39,40.81,111.65,46.4,11.18
410,Alto Araguaia,92,BR,1570933871,79,-17.32,-53.22,70.95,2.15
411,Tuatapere,87,NZ,1570933873,72,-46.13,167.69,55.0,8.01
412,Ust-Maya,100,RU,1570933874,85,60.42,134.54,20.91,8.26
413,San Policarpo,99,PH,1570933875,62,12.18,125.51,83.37,9.99
414,Altamira,45,BR,1570933876,70,-3.2,-52.21,77.97,2.31
415,Zhanaozen,100,KZ,1570933878,81,43.35,52.85,50.79,8.37
416,Shihezi,17,CN,1570933879,41,44.3,86.03,59.43,4.26
417,Luang Prabang,75,LA,1570933880,73,19.89,102.14,77.0,2.24
418,Madzhalis,0,RU,1570933881,75,42.12,47.83,45.03,4.01
419,Meulaboh,100,ID,1570933883,76,4.14,96.13,80.49,2.35
420,Staryy Merchyk,75,UA,1570933884,93,49.98,35.76,50.0,13.42
421,Grand Baie,40,MU,1570933885,88,-20.02,57.58,73.0,2.24
422,Kununurra,15,AU,1570933886,29,-15.77,128.74,98.6,4.7
423,Mecca,0,SA,1570933888,36,21.43,39.83,83.01,1.25
424,Jizan,25,SA,1570933889,66,16.89,42.56,87.8,6.93
425,Zheleznodorozhnyy,20,RU,1570933890,81,55.75,38.0,48.2,11.18
426,Niort,32,FR,1570933891,88,46.32,-0.46,66.0,12.75
427,Dunedin,100,NZ,1570933893,90,-45.87,170.5,46.29,18.95
428,Monsenhor Gil,52,BR,1570933894,51,-5.56,-42.61,86.0,9.17
429,Baykit,96,RU,1570933895,52,61.68,96.39,27.75,3.72
430,Sibolga,53,ID,1570933896,87,1.74,98.78,79.05,2.42
431,Sakaraha,0,MG,1570933898,75,-22.91,44.53,70.23,2.43
432,Cayenne,0,GF,1570933899,94,4.94,-52.33,77.0,1.12
433,Yagodnoye,100,RU,1570933900,91,62.52,149.63,13.35,4.37
434,Kattivakkam,40,IN,1570933901,88,13.22,80.32,82.4,3.86
435,Sulangan,38,PH,1570933902,75,11.14,123.72,82.47,10.36
436,Port Hardy,75,CA,1570933904,81,50.7,-127.42,48.2,10.29
437,Ottumwa,1,US,1570933905,49,41.02,-92.41,48.2,6.93
438,Magaria,78,NE,1570933906,61,13.0,8.91,79.77,10.16
439,Kuito,100,AO,1570933907,96,-12.38,16.94,58.89,2.84
440,Roanoke Rapids,1,US,1570933909,100,36.46,-77.65,68.0,3.01
441,Fairbanks,90,US,1570933910,86,64.84,-147.72,30.0,4.7
442,Wanlaweyn,27,SO,1570933911,83,2.62,44.89,77.61,7.76
443,Shebunino,100,RU,1570933912,81,57.66,40.04,47.73,16.4
444,San Vicente,75,EC,1570933914,78,-0.59,-80.41,73.4,9.17
445,Rodental,85,DE,1570933915,91,50.28,11.07,60.01,7.7
446,Puerto Escondido,98,MX,1570933916,96,15.86,-97.07,71.31,2.27
447,Dzhebariki-Khaya,100,RU,1570933917,84,62.22,135.8,19.47,4.44
448,Tromso,44,NO,1570933919,85,69.65,18.96,24.8,11.41
449,Tibati,30,CM,1570933920,97,6.47,12.63,64.83,2.31
450,Along,0,IN,1570933921,60,28.17,94.8,76.53,1.01
451,Norden,75,DE,1570933922,100,53.59,7.21,53.01,4.7
452,Souillac,15,FR,1570933924,77,45.6,-0.6,66.2,21.92
453,Lewistown,1,US,1570933925,50,40.39,-90.15,54.0,14.99
454,Dwarka,0,IN,1570933926,78,28.58,77.04,84.99,4.14
455,Hauterive,90,CA,1570933928,71,49.18,-68.27,50.0,5.82
456,Harrison,1,US,1570933929,86,39.26,-84.82,46.4,7.25
457,Aswan,72,EG,1570933930,17,24.09,32.9,89.6,8.05
458,Gao,3,ML,1570933932,43,16.28,-0.04,88.05,10.29
459,Roebourne,0,AU,1570933933,13,-20.77,117.15,96.33,8.98
460,Gwadar,0,PK,1570933934,74,25.12,62.33,80.49,2.28
461,Atar,0,MR,1570933935,18,20.52,-13.05,83.37,7.38
462,San Isidro,75,CR,1570933936,94,10.02,-84.06,69.8,2.24
463,Bongor,9,TD,1570933938,87,10.28,15.37,74.55,6.02
464,Hamilton,20,CA,1570933939,86,43.26,-79.87,48.0,5.82
465,Jerantut,87,MY,1570933940,62,3.94,102.37,87.15,1.45
466,Momignies,20,BE,1570933942,87,50.03,4.17,62.01,9.17
467,Erzurum,0,TR,1570933943,80,39.91,41.27,33.8,4.7
468,Jinxiang,0,CN,1570933944,63,35.07,116.31,79.0,5.26
469,Ginda,20,IN,1570933946,88,30.69,78.49,66.2,3.36
470,Morondava,0,MG,1570933947,87,-20.3,44.28,73.29,4.84
471,Pingliang,100,CN,1570933948,50,35.54,106.68,54.57,4.14
472,Slawno,100,PL,1570933950,82,52.84,16.56,59.0,6.93
473,Gejiu,92,CN,1570933951,87,23.36,103.16,66.09,2.61
474,Gambela,100,ET,1570933953,96,8.25,34.59,68.43,2.36
475,Noboribetsu,20,JP,1570933954,58,42.42,141.1,57.99,25.28
476,Awbari,0,LY,1570933955,77,26.59,12.77,64.29,6.14
477,Volot,78,RU,1570933956,85,57.93,30.71,48.27,11.65
478,Samana,0,EC,1570933957,98,0.12,-76.97,68.97,1.85
479,Puerto Madryn,65,AR,1570933959,60,-42.77,-65.04,43.23,6.75
480,Agropoli,2,IT,1570933960,73,40.35,15.0,61.0,4.0
481,Axim,100,GH,1570933961,95,4.87,-2.24,74.01,1.63
482,Khuzhir,1,RU,1570933962,47,53.19,107.35,33.69,1.49
483,Ryabovo,58,RU,1570933963,94,60.34,28.99,43.0,4.0
484,Verkhnyaya Inta,100,RU,1570933965,79,65.99,60.32,34.41,8.48
485,Bonfim,43,BR,1570933966,50,-20.33,-44.24,75.2,5.82
486,Agadez,1,NE,1570933967,25,16.97,7.99,87.8,12.27
487,Moerai,0,PF,1570933969,70,-22.43,-151.33,70.59,14.95
488,Yerbogachen,80,RU,1570933970,64,61.28,108.01,26.13,9.58
489,San Cristobal,100,HN,1570933971,96,14.68,-86.92,66.63,3.28
490,Grindavik,75,IS,1570933972,93,63.84,-22.43,44.6,17.22
491,Bathsheba,75,BB,1570933974,74,13.22,-59.52,82.4,13.87
492,Nkowakowa,0,ZA,1570933975,42,-23.89,30.29,64.4,6.93
493,Pandan,71,PH,1570933976,74,11.72,122.09,83.01,13.66
494,Lethem,1,GY,1570933977,58,3.38,-59.8,81.93,5.88
495,Gorontalo,8,ID,1570933979,67,0.54,123.06,85.71,10.56
496,Qasigiannguit,82,GL,1570933980,63,68.82,-51.19,26.6,2.24
497,Kavaratti,89,IN,1570933981,76,10.57,72.64,83.01,11.72
498,Luanda,75,AO,1570933983,78,-8.83,13.24,75.2,8.05
499,Kondinskoye,100,RU,1570933984,95,59.65,67.41,43.59,6.4
500,Haines Junction,100,CA,1570933985,83,60.75,-137.51,21.09,3.9
501,Washington DC.,1,US,1570933985,48,38.9,-77.04,63.0,3.36
502,Broome,100,GB,1570933988,100,52.47,1.45,52.0,5.0
503,Morozovsk,38,RU,1570933989,75,48.35,41.83,49.71,12.72
504,Alekseyevsk,0,RU,1570933990,52,57.84,108.35,28.29,7.54
505,Wanning,40,AT,1570933992,100,48.64,13.53,52.0,2.24
506,Diu,0,IN,1570933993,72,20.71,70.98,84.99,9.36
507,Herat,0,AF,1570933994,34,34.35,62.22,55.4,2.24
508,Tsabong,45,BW,1570933995,37,-26.02,22.4,66.45,3.47
509,Auki,5,NG,1570933997,85,12.18,6.51,73.65,6.51
510,Kidal,4,ML,1570933998,27,18.44,1.41,85.89,4.19
511,Poso,51,ID,1570933999,78,-1.4,120.75,76.89,2.33
512,Abhar,100,IR,1570934001,85,36.14,49.22,47.91,9.16
513,Sheksna,100,RU,1570934002,78,59.21,38.5,45.21,18.3
514,Biloela,0,AU,1570934003,15,-24.4,150.51,82.47,8.85
515,Bonavista,100,CA,1570934004,83,48.65,-53.11,46.99,8.01
516,Hirado,90,JP,1570934006,64,33.32,129.49,75.2,19.46
517,Lasa,0,CY,1570934007,40,34.92,32.53,71.6,8.05
518,Babol,90,IR,1570934008,93,36.55,52.68,66.2,18.34
519,Save,87,BJ,1570934010,95,8.04,2.49,71.31,2.04
520,Beloha,97,MG,1570934011,86,-25.17,45.06,70.23,2.73
521,Dungarpur,0,IN,1570934012,48,23.85,73.71,77.79,2.28
522,West Bay,90,CA,1570934013,87,49.34,-123.21,53.01,12.75
523,Kulu,98,CD,1570934015,99,3.47,23.69,65.73,0.9
524,Ambilobe,0,MG,1570934016,71,-13.19,49.05,72.75,9.56
525,Tocopilla,0,CL,1570934017,24,-22.09,-70.2,50.79,4.4
526,Itoman,75,JP,1570934018,61,26.12,127.67,82.4,16.11
527,Teguldet,99,RU,1570934020,65,57.31,88.17,36.75,5.5
528,Linxia,100,CN,1570934021,52,35.6,103.21,48.81,5.28
529,Taltal,16,CL,1570934022,90,-25.41,-70.49,50.61,2.53
530,Aitape,100,PG,1570934023,67,-3.15,142.36,83.19,6.04
531,Sechura,0,PE,1570934025,87,-5.56,-80.82,61.05,6.15
532,Maryborough,0,AU,1570934026,27,-25.54,152.7,80.85,5.82
533,Nhulunbuy,21,AU,1570934027,33,-12.18,136.78,87.8,8.05
534,Okha,100,RU,1570934029,60,53.59,142.95,35.49,21.52
535,San Francisco,100,CO,1570934030,97,1.17,-76.88,50.79,0.63
536,Rome,100,IT,1570934031,82,41.89,12.48,60.8,5.82
537,Mehamn,100,NO,1570934032,89,71.03,27.85,33.33,4.38
538,Mount Gambier,99,AU,1570934033,33,-37.83,140.78,71.6,17.22
539,Samarai,2,PG,1570934035,67,-10.62,150.67,80.49,8.65
540,Inongo,0,CD,1570934036,95,-1.93,18.29,67.71,1.48
541,Kastamonu,0,TR,1570934037,90,41.38,33.78,45.03,0.26
542,Yaqui,75,MX,1570934038,48,27.37,-110.17,82.4,4.7
543,Empangeni,100,ZA,1570934040,86,-28.75,31.9,69.15,31.92
544,Akropong,100,GH,1570934041,94,5.97,-0.09,75.2,8.05
545,Punta Gorda,40,US,1570934042,83,26.93,-82.05,79.0,9.17
546,Mount Isa,0,AU,1570934043,8,-20.73,139.49,95.0,16.11
547,Henties Bay,52,NA,1570934045,87,-22.12,14.28,63.0,5.99
548,Chabahar,40,IR,1570934046,88,25.29,60.65,78.8,2.21
549,Mansa,0,IN,1570934047,73,23.43,72.66,71.6,5.97
550,La Paz,90,MX,1570934049,83,24.15,-110.32,77.0,13.83
551,Tangzhai,100,CN,1570934050,95,26.73,109.0,59.61,2.52
552,Ust-Nera,100,RU,1570934051,92,64.57,143.24,6.15,3.44
553,Hutchinson,1,US,1570934052,37,38.06,-97.93,55.99,6.93
554,Kangaatsiaq,92,GL,1570934053,81,68.31,-53.46,31.71,12.87
555,Vagur,20,FO,1570934055,75,61.47,-6.81,45.93,11.48
556,Okhotsk,100,RU,1570934056,62,59.36,143.24,25.41,16.14
557,Ronneby,100,SE,1570934057,100,56.21,15.28,50.0,4.7
558,Caconda,90,AO,1570934058,89,-13.73,15.06,62.67,5.27
559,Samoded,100,RU,1570934060,98,63.61,40.52,41.43,6.8
560,Kalmunai,1,LK,1570934061,80,7.42,81.82,80.31,4.26
561,Boca do Acre,32,BR,1570934062,81,-8.76,-67.39,73.65,1.8
562,Kichera,0,RU,1570934063,46,55.93,110.1,21.45,1.59
563,San Alberto,1,PY,1570934064,61,-24.98,-54.91,80.6,2.24
564,Maceio,75,BR,1570934066,94,-9.67,-35.74,73.4,5.82
565,Ust-Tsilma,100,RU,1570934067,92,65.44,52.15,39.63,7.3
566,Savannah Bight,95,HN,1570934069,73,16.45,-85.85,84.27,15.21
567,Ocos,40,GT,1570934070,94,14.51,-92.19,77.0,3.52
568,Mandalgovi,0,MN,1570934071,48,45.76,106.27,25.95,10.56
569,El Reno,1,US,1570934072,37,35.53,-97.96,53.01,12.75
570,Mayfield,20,GB,1570934074,93,55.87,-3.04,46.0,2.24
